sep=,
media_type,stream_index,key_frame,pkt_pts,pkt_pts_time,pkt_dts,pkt_dts_time,best_effort_timestamp,best_effort_timestamp_time,pkt_duration,pkt_duration_time,pkt_pos,pkt_size,width,height,pix_fmt,sample_aspect_ratio,pict_type,coded_picture_number,display_picture_number,interlaced_frame,top_field_first,repeat_pict,color_range,color_space,color_primaries,color_transfer,chroma_location
video,0,0,80080,2.669333,80080,2.669333,80080,2.669333,1001,0.033367,126264,428,640,360,yuv420p,N/A,B,80,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,81081,2.702700,81081,2.702700,81081,2.702700,1001,0.033367,126940,284,640,360,yuv420p,N/A,B,82,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,82082,2.736067,82082,2.736067,82082,2.736067,1001,0.033367,122967,3297,640,360,yuv420p,N/A,P,79,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,83083,2.769433,83083,2.769433,83083,2.769433,1001,0.033367,130832,265,640,360,yuv420p,N/A,B,85,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,84084,2.802800,84084,2.802800,84084,2.802800,1001,0.033367,130442,390,640,360,yuv420p,N/A,B,84,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,85085,2.836167,85085,2.836167,85085,2.836167,1001,0.033367,131097,255,640,360,yuv420p,N/A,B,86,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,86086,2.869533,86086,2.869533,86086,2.869533,1001,0.033367,127224,3218,640,360,yuv420p,N/A,P,83,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,87087,2.902900,87087,2.902900,87087,2.902900,1001,0.033367,142833,322,640,360,yuv420p,N/A,B,89,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,88088,2.936267,88088,2.936267,88088,2.936267,1001,0.033367,142171,662,640,360,yuv420p,N/A,B,88,0,0,0,0,unknown,unknown,unknown,unknown,left
video,0,0,89089,2.969633,89089,2.969633,89089,2.969633,1001,0.033367,143155,401,640,360,yuv420p,N/A,B,90,0,0,0,0,unknown,unknown,unknown,unknown,left
